Código INE;Municipio;Provincia;Comunidad Autónoma;Bicicletas Fallecidos;Bicicletas Heridos Graves;Bicicletas Heridos Leves;Ciclomotores Fallecidos;Ciclomotores Heridos Graves;Ciclomotores Heridos Leves;Motocicletas Fallecidos;Motocicletas Heridos Graves;Motocicletas Heridos Leves;Turismos Fallecidos;Turismos Heridos Graves;Turismos Heridos Leves;Furgonetas Fallecidos;Furgonetas Heridos Graves;Furgonetas Heridos Leves;Camiones Fallecidos;Camiones Heridos Graves;Camiones Heridos Leves;Autobus Fallecidos;Autobus Heridos Graves;Autobus Heridos Leves;Otros Fallecidos;Otros Heridos Graves;Otros Heridos Leves;Peatones Fallecidos;Peatones Heridos Graves;Peatones Heridos Leves;N Accidentes con Victimas;Fallecidos;Heridos Hospitalizados;Heridos no Hospitalizados;Latitud;Longitud
17006;Alp;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;42.38;1.89
17007;Amer;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;42.01;2.6
17008;Anglés;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.96;2.64
17009;Arbucias;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.82;2.51
17010;Argelaguer;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.21;2.64
17011;Pont de Armentera;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.38;1.36
17012;Aviñonet;Girona;Cataluña;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;42.25;2.91
17013;Bagur;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;41.95;3.21
17015;Bañolas;Girona;Cataluña;0;0;10;0;0;4;0;1;5;0;0;16;0;0;2;0;0;0;0;0;0;0;0;2;0;1;14;51;0;2;53;42.12;2.77
17016;Báscara;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.16;2.91
17018;Bellcaire;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.08;3.1
17019;Besalú;Girona;Cataluña;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;42.2;2.7
17020;Bescanó;Girona;Cataluña;0;0;1;0;0;2;0;1;2;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;15;41.96;2.74
17021;Beuda;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.24;2.71
17023;Blanes;Girona;Cataluña;0;0;3;0;0;7;0;1;15;0;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;1;7;44;0;2;46;41.67;2.79
17024;Bolvir;Girona;Cataluña;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;42.42;1.88
17025;Bordils;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;4;42.05;2.91
17026;Borrassá;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.23;2.93
17027;Breda;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;41.75;2.56
17028;Bruñola;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.9;2.68
17029;Buadella;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.33;2.86
17030;Cabanas;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;42.31;2.98
17031;Cabanellas;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.23;2.82
17032;Cadaqués;Girona;Cataluña;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;1;0;4;42.29;3.28
17033;Caldas de Malavella;Girona;Cataluña;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;6;41.84;2.81
17034;Calonge;Girona;Cataluña;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;2;41.86;3.08
17035;Camós;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.09;2.77
17036;Campdevánol;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.23;2.17
17037;Campellas;Girona;Cataluña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.3;2.14
